Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,22/08/2025,(not set),(not set),7409,4,922.84,Outros Canais
Site,28/12/2025,(direct) / (none),(direct),7378,580,114951.300067,Outros Canais
Site,26/08/2025,(not set),(not set),7370,8,776.6,Outros Canais
Site,26/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7364,146,17986.790046000002,Outros Canais
Site,05/02/2026,google / cpc,Performance -Guanabara-App-Engajament,7360,290,45022.450019,Outros Canais
Site,18/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7351,191,29203.070025999994,Outros Canais
Site,11/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7336,156,28074.400025,Outros Canais
Site,05/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7299,322,48039.689974,Outros Canais
Site,20/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7278,317,39275.579997,Outros Canais
Site,10/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7263,142,21752.850025,Outros Canais
Site,16/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7259,335,45894.070003000015,Outros Canais
Site,02/02/2026,google / cpc,Performance -Guanabara-App-Engajament,7254,274,36182.230016,Outros Canais
Site,29/03/2026,google / cpc,Performance -Guanabara-App-Engajament,7247,394,50297.140003,Outros Canais
Site,03/08/2025,google / cpc,Performance -Guanabara-App-Engajament,7240,136,16284.099961000002,Outros Canais
Site,18/11/2025,(direct) / (none),(direct),7231,786,134993.434992,Outros Canais
Site,23/08/2025,(not set),(not set),7218,5,1031.190004,Outros Canais
Site,14/08/2025,google / cpc,Performance -Guanabara-App-Engajament,7193,195,23670.440031000002,Outros Canais
Site,05/06/2025,(not set),(not set),7192,9,1422.079995,Outros Canais
Site,23/12/2025,(direct) / (none),(direct),7188,637,111888.939992,Outros Canais
Site,04/05/2026,google / cpc,Performance -Guanabara-App-Engajament,7188,291,40240.89497600001,Outros Canais
Site,20/07/2025,google / cpc,Performance -Guanabara-App-Engajament,7176,163,28227.640026999998,Outros Canais
Site,01/08/2025,google / cpc,Performance -Guanabara-App-Engajament,7171,212,33554.09000599999,Outros Canais
Site,28/03/2026,google / cpc,Performance -Guanabara-App-Engajament,7164,385,47290.15008600001,Outros Canais
Site,30/12/2025,(direct) / (none),(direct),7161,641,125361.650089,Outros Canais
Site,01/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7159,297,43934.225003,Outros Canais
Site,04/12/2025,google / cpc,Performance -Guanabara-App-Engajament,7147,282,46126.239994999996,Outros Canais
Site,12/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7135,366,42951.90001599999,Outros Canais
Site,15/04/2026,google / cpc,Performance -Guanabara-App-Engajament,7102,338,50221.61999199999,Outros Canais
